,Unnamed: 0,user_no,user_name,mr_sect_no,trade_sort,use_type_code,meter_calibre,user_ms_type
4,6935102,0006935102,东山钢瓶厂,1061112010,混合商业,经营服务用水,,计费
5,6935030,0006935030,三茂铁路公司办公室,1061192010,水疗馆,特种用水,,计费
6,6618676,0006618676,黄仁强,1063042010,居民（旧）,居民生活,15.0,计费
7,6619318,0006619318,王爱兰（低保）,1063212010,居民（旧）,居民生活,15.0,计费
8,6619334,0006619334,黄腾开（低保）,1063212010,低保户（旧）,居民生活,15.0,计费
9,6617338,0006617338,罗瑞娥（低保）,1063202010,居民家庭,居民生活,15.0,计费
11,6623799,0006623799,曹合容（低保）,35720070,居民（旧）,居民生活,15.0,考核
12,6623962,0006623962,潘炳坤（低保）,1063212010,低保户（旧）,居民生活,15.0,计费
13,6622015,0006622015,梁雪莹（低保）,1063212010,城市居民（旧）,居民生活,15.0,计费
15,324739,0000324739,广州省广州市监狱（监舍区）,1063332010,单位/集体宿舍,居民生活,,计费
21,16080687,0016080687,军械部中型修理部,1061172010,混合商业,经营服务用水,,计费
23,480273,0000480273,广州市协和中学,1063332010,学校用水,学校用水,150.0,计费
26,480433,0000480433,广州第一中学,35720030,商业,经营服务用水,,计费
32,483331,0000483331,省财贸管理干部学院,1063392010,商业,经营服务用水,,计费
78,469311,0000469311,华康地空开发有限公司(刘红兵),1063252010,建筑业,工业用水,40.0,计费
82,467458,0000467458,市茶叶公司,1063352010,商业,经营服务用水,,计费
88,470849,0000470849,羊城铁路总公司广州车辆段(53483的副页,1063372010,居民家庭,居民生活,,计费
89,466022,0000466022,李裕兴针织厂,1063252010,饮旅业,经营服务用水,100.0,计费
109,481566,0000481566,广州市白云区石井槎龙村物业管理部,1033492010,商业,经营服务用水,,计费
116,477215,0000477215,广州市矿泉游泳场,1063402010,居民家庭,居民生活,,计费
145,485698,0000485698,广州市医药公司健民医药连锁店,1063172010,商业,经营服务用水,100.0,计费
165,430799,0000430799,广铁客技站宿舍,1063402010,单位/集体宿舍,居民生活,,计费
194,429144,0000429144,市煤建公司,1063312010,建筑业,工业用水,100.0,计费
254,495569,0000495569,广州市同盈实业有限公司,1013422010,商业,经营服务用水,,计费
255,495572,0000495572,广州市同盈实业有限公司,1013422010,农村/城中村总表民用,居民生活,,计费
256,495585,0000495585,广州市同盈实业有限公司,1013422010,商业,经营服务用水,,计费
262,495631,0000495631,广州市同粤实业有限公司,1013432010,商业,经营服务用水,,计费
263,495716,0000495716,广州市同上实业有限公司,1013442010,商业,经营服务用水,,计费
298,508807,0000508807,广州建材企业集团有限公司穗花分公司,35720020,居民（旧）,居民生活,100.0,计费
302,488567,0000488567,广州市流花湖公园,1063232010,商业,经营服务用水,,计费
303,488570,0000488570,广州市流花湖公园,1063232010,行政,行政事业,,计费
304,502939,0000502939,广州市水电设备安装公司第四工程处,35720020,建筑业,工业用水,,计费
322,498555,0000498555,广州市荔湾湖公园,1063032010,商业,经营服务用水,,计费
335,497158,0000497158,广州军区联勤部广州流花湖离职干部休养所,1063372010,商业,经营服务用水,,计费
346,499662,0000499662,广州市同骏实业有限公司,1013452010,商业,经营服务用水,200.0,计费
349,506540,0000506540,广州市西城物业管理有限公司,1063382010,居民家庭,居民生活,,计费
350,506553,0000506553,广州市西城物业管理有限公司,1063382010,行政,行政事业,,计费
351,506566,0000506566,广州市白云区同德物业管理部,1013432010,商业,经营服务用水,,计费
352,506579,0000506579,广州市白云区同德物业管理部,1013432010,农村/城中村总表民用,居民生活,,计费
360,497800,0000497800,中国土产畜产广东茶叶进出口公司,1063062010,居民家庭,居民生活,,计费
362,497839,0000497839,广州金麒麟食品有限公司,1063252010,其他工业,工业用水,,计费
414,498542,0000498542,广州市荔湾湖公园,1063032010,商业,经营服务用水,,计费
430,483676,0000483676,广州市粤威综合加工厂,1033492010,单位/集体宿舍,居民生活,,计费
444,506319,0000506319,白天鹅宾馆,1063142010,水疗馆,特种用水,,计费
461,508663,0000508663,广州市自来水工程公司,1013432010,商业,经营服务用水,100.0,计费
462,492065,0000492065,广州市白云区松洲街螺涌村水电组,1033502010,商业,经营服务用水,,计费
467,495602,0000495602,广州市同溢实业有限公司,1013422010,商业,经营服务用水,,计费
499,9832158,0009832158,广州市地下铁道总公司,2018112010,建筑业,经营服务用水,,计费
504,1979594,0001979594,白云区京溪小学,1021042010,学校用水,学校用水,,计费
505,1979608,0001979608,白云区京溪村,1021042010,混合商业,经营服务用水,,计费
506,1979682,0001979682,广州钢瓶五金制品厂,1061112010,混合商业,经营服务用水,,计费
510,1978924,0001978924,广州海洋地质调查局,1061122010,混合商业,经营服务用水,,计费
511,1978937,0001978937,广州海洋地质调查局,1061122010,行政,行政事业,,计费
517,1977341,0001977341,军区司令部工程部,1061302010,混合商业,经营服务用水,,计费
521,1953174,0001953174,南方工贸总公司,1061322010,居民家庭,居民生活,,计费
527,1990182,0001990182,广东省粮油发展公司,1061182010,纤体减肥,经营服务用水,,计费
537,1985492,0001985492,广州大道北甘园路	,1021052010,部队小区,居民生活,,计费
544,1947351,0001947351,梅花园宾馆宿舍,1021042010,单位/集体宿舍,居民生活,,计费
546,1947436,0001947436,白云农工商联合公司场部,1021022010,混合商业,经营服务用水,,计费
567,1977022,0001977022,军区特运办事处,1061172010,宾馆,经营服务用水,,计费
569,1990629,0001990629,白云区同和村委会--新苑小区,1021032010,混合商业,经营服务用水,,计费
573,1977514,0001977514,广州市天河区兴华街银河股份合作经济联社,1021052010,学校用水,学校用水,,计费
578,1948657,0001948657,中国人民解放军61156部队,1061162010,其他商业,经营服务用水,,计费
604,1949722,0001949722,广空干休所宿舍,1061112010,混合商业,经营服务用水,,计费
616,2009357,0002009357,京溪村民委员会,1021052010,混合商业,经营服务用水,,计费
624,2007667,0002007667,省军区第一招待所,1021042010,部队小区,居民生活,,计费
649,2267962,0002267962,中国人民解放军第四五八医院,1021052010,单位/集体宿舍,居民生活,,计费
660,2260697,0002260697,华燕宾馆,1061122010,居民家庭,居民生活,,计费
667,2267018,0002267018,广州军区后勤部,1061212010,居民家庭,居民生活,,计费
668,2267034,0002267034,广州军区后勤部,1061212010,混合商业,经营服务用水,,计费
673,2267412,0002267412,广州市东建实业总公司,1061222010,夜总会,经营服务用水,,计费
675,2273727,0002273727,执信中学,1061192010,混合商业,经营服务用水,,计费
678,2275055,0002275055,广东教学仪器厂,1061122010,其他工业,工业用水,,计费
681,2255503,0002255503,广东电视台,1061152010,建筑业,工业用水,,计费
684,2255662,0002255662,警备区司令部宿舍,1061382010,行政,行政事业,,计费
694,2269287,0002269287,军医大学,1021032010,混合商业,经营服务用水,,计费
698,2258759,0002258759,同和村委会一队,1021022010,混合商业,经营服务用水,,计费
699,2258762,0002258762,同和乡蟾蜍村,1021022010,混合商业,经营服务用水,,计费
709,2280149,0002280149,珠江宾馆宿舍,1061302010,饮食业,经营服务用水,,计费
712,2277471,0002277471,广州军区第一招待所,1061192010,居民家庭,居民生活,,计费
726,2281474,0002281474,省职工体育运动技术学院,1041412010,混合商业,经营服务用水,,计费
732,2253868,0002253868,中共广东省委党校,1061212010,混合商业,经营服务用水,,计费
735,2295246,0002295246,军区工程处,1061302010,混合商业,经营服务用水,,计费
737,2285652,0002285652,市21中学,1061152010,行政,行政事业,,计费
754,2271529,0002271529,广州动物圆,1061122010,饮食业,经营服务用水,,计费
765,2262576,0002262576,同和乡政府,1021022010,混合商业,经营服务用水,,计费
771,2252302,0002252302,８７１８２部队四大队,1061112010,混合商业,经营服务用水,,计费
772,2252360,0002252360,南方日报社,1061282010,混合商业,经营服务用水,,计费
775,2275488,0002275488,广东省药材公司综合楼,1061262010,单位/集体宿舍,居民生活,,计费
785,2256610,0002256610,天心制药厂,1061312010,抄表到户居民家庭,居民生活,,计费
787,2266217,0002266217,同和村委会白水塘队,1021022010,混合商业,经营服务用水,,计费
790,2268558,0002268558,空军司令部,1061122010,混合商业,经营服务用水,,计费
791,2268561,0002268561,空军司令部,1061122010,行政,行政事业,,计费
798,2274007,0002274007,８７４７３部队（梅州大夏）,1061162010,行政,行政事业,,计费
799,2274010,0002274010,８７４７３部队（梅州大夏）,1061162010,混合商业,经营服务用水,,计费
802,2271079,0002271079,银行疗养院,1061142010,饮食业,经营服务用水,,计费
804,2266262,0002266262,54429部队,1021052010,其他工业,工业用水,,计费
807,2266448,0002266448,同和村蟹山经济合作社,1021052010,混合商业,经营服务用水,,计费
808,2266451,0002266451,握山一队,1021052010,混合商业,经营服务用水,,计费
810,2266477,0002266477,握山村第二经济合作社,1021052010,混合商业,经营服务用水,,计费
814,2273033,0002273033,广州广司经营服务中心,1061302010,饮食业,经营服务用水,,计费
820,2262794,0002262794,南方医院,1021022010,单位/集体宿舍,居民生活,,计费
823,2273264,0002273264,梅县地区驻穗办事处,1061082010,单位/集体宿舍,居民生活,,计费
829,2256678,0002256678,军区后勤部企业局,1061262010,居民家庭,居民生活,,计费
831,2275534,0002275534,广州部队４０１部队,1061302010,混合商业,经营服务用水,,计费
832,2275547,0002275547,广州部队４０１部队,1061302010,居民家庭,居民生活,,计费
833,2275550,0002275550,军区后勤部农场,1021052010,居民家庭,居民生活,,计费
841,2251732,0002251732,滔金北管理处,1061152010,饮旅业,经营服务用水,,计费
846,2266507,0002266507,握山二队,1021052010,混合商业,经营服务用水,,计费
856,2270340,0002270340,广州军区后勤连,1061172010,宾馆,经营服务用水,,计费
873,2280891,0002280891,广州军区政治部艺星招待所,1061252010,居民家庭,居民生活,,计费
924,2298883,0002298883,同和公司白云村,1021022010,混合商业,经营服务用水,,计费
925,2298942,0002298942,海南农垦驻广州办事处,1061072010,居民家庭,居民生活,,计费
934,2288606,0002288606,深圳市中金岭南有色金属股份有限公司韶关冶炼厂,1061252010,单位/集体宿舍,居民生活,,计费
957,2295813,0002295813,广州军械转运站,1061142010,居民家庭,居民生活,,计费
967,2285199,0002285199,广州军区司令部车队,1021052010,居民家庭,居民生活,,计费
971,2287629,0002287629,广东南湖旅游中心,1021022010,抄表到户居民家庭,居民生活,,计费
973,2290818,0002290818,中心血站宿舍,1061152010,单位/集体宿舍,居民生活,,计费
975,2290906,0002290906,广空司令部,1061212010,混合商业,经营服务用水,,计费
998,2293354,0002293354,远洋公司,1061192010,单位/集体宿舍,居民生活,,计费
1005,2277804,0002277804,东山宾馆,1061242010,单位/集体宿舍,居民生活,,计费
1015,2318064,0002318064,军区司令部综合加工厂,1061302010,混合商业,经营服务用水,,计费
1025,2315935,0002315935,黄花岗公园,1061162010,饮旅业,经营服务用水,,计费
1028,2315993,0002315993,广东松园宾馆,1021022010,居民家庭,居民生活,,计费
1030,2302339,0002302339,市政工程机械施工有限公司设备部,1061082010,机械业,工业用水,,计费
1031,2307031,0002307031,广州地震局,1061162010,行政,行政事业,,计费
1040,2318149,0002318149,第一军区大学广州干休所,1021042010,居民家庭,居民生活,,计费
1043,2318400,0002318400,大上海酒店,1061262010,混合商业,经营服务用水,,计费
1051,2307044,0002307044,广州地震局,1061162010,混合商业,经营服务用水,,计费
1061,2320768,0002320768,军区后勤沿江干修所,1061372010,混合商业,经营服务用水,,计费
1063,2320814,0002320814,省财政厅,1061212010,单位/集体宿舍,居民生活,,计费
1075,2300825,0002300825,白云管理处,1061072010,饮旅业,经营服务用水,,计费
1078,2304784,0002304784,省舞蹈学校,1061102010,商业,经营服务用水,,计费
1089,2316303,0002316303,广州军区司令防化学校,1021022010,农村/城中村抄表到楼,居民生活,,计费
1090,2316374,0002316374,白云山药厂原料基地,2028022010,居民（旧）,居民生活,,计费
1108,2308597,0002308597,市城建开发集团有限公司,1041412010,混合商业,经营服务用水,,计费
1112,2320263,0002320263,白云公司双燕畜牧场,1061072010,抄表到户居民家庭,居民生活,,计费
1115,2286219,0002286219,广后卫生防疫队,1061172010,单位/集体宿舍,居民生活,,计费
1118,2316710,0002316710,市第一公共汽车公司,1061122010,居民家庭,居民生活,,计费
1125,2317742,0002317742,广州华乐制药厂,1021052010,单位/集体宿舍,居民生活,,计费
1126,2317768,0002317768,省华侨农场管理局,1061262010,单位/集体宿舍,居民生活,,计费
1129,2315759,0002315759,署前宾馆,1061392010,居民家庭,居民生活,,计费
1143,2301310,0002301310,军区后勤部农场,1021052010,混合商业,经营服务用水,,计费
1152,2282725,0002282725,白灰场村,1021052010,混合商业,经营服务用水,,计费
1153,2282738,0002282738,京溪乡白灰场村,1021052010,混合商业,经营服务用水,,计费
1155,2320579,0002320579,省探矿机械厂,1021062010,机械业,工业用水,,计费
1157,2320595,0002320595,省探矿机械厂,1021062010,混合商业,经营服务用水,,计费
1162,2306386,0002306386,广东省交通厅,1061362010,混合商业,经营服务用水,,计费
1164,2314219,0002314219,中国邮电工业总公司广州办事处,1061192010,单位/集体宿舍,居民生活,,计费
1176,2314394,0002314394,市业余大学,1061122010,混合商业,经营服务用水,,计费
1214,2311409,0002311409,广州市空军医院,1061182010,混合商业,经营服务用水,,计费
1225,2476748,0002476748,广州市芳村区花地街办事处,3065012010,商业,经营服务用水,,计费
1228,2478526,0002478526,广州市荔湾区海龙街龙溪股份合作经济联合社,3075012010,其他工业,工业用水,,计费
1229,2478539,0002478539,广州市荔湾区海龙街龙溪股份合作经济联合社,3075012010,混合商业,经营服务用水,,计费
1230,2478542,0002478542,广州市荔湾区中南街海中股份合作经济联合社,3075012010,其他工业,工业用水,,计费
1231,2478555,0002478555,广州市荔湾区中南街海中股份合作经济联合社,3075012010,商业,经营服务用水,,计费
1232,2478568,0002478568,广州市荔湾区海龙街海北股份合作经济联合社,3075012010,混合商业,经营服务用水,,计费
1233,2478571,0002478571,广州市荔湾区海龙街海北股份合作经济联合社,3075012010,其他工业,工业用水,,计费
1234,2478584,0002478584,广州空军房地产管理处海南军营,3075012010,其他工业,工业用水,,计费
1235,2479792,0002479792,沙凤村,54119000,其他工业,工业用水,,计费
1238,2479200,0002479200,广州市荔湾区海龙街龙溪股份合作经济联合社,3075012010,混合商业,经营服务用水,,计费
1239,2480578,0002480578,广州市荔湾区中南街海南股份合作经济联合社,3075012010,商业,经营服务用水,,计费
1240,2480581,0002480581,广州市荔湾区中南街海南股份合作经济联合社,3075012010,行政,行政事业,,计费
1241,2480594,0002480594,广州市荔湾区中南街海南股份合作经济联合社,3075012010,其他工业,工业用水,,计费
1242,2480611,0002480611,广州市白云区金沙街沙凤股份合作经济联合社,3105012010,其他行政,行政事业,,计费
1243,2480624,0002480624,广州市白云区金沙街沙凤股份合作经济联合社,3105022010,混合商业,经营服务用水,,计费
1244,2481454,0002481454,广州市白云区金沙街横沙经济联合社,3105032010,商业,经营服务用水,,计费
1245,2481467,0002481467,广州市荔湾区体育局,3075012010,其他商业,经营服务用水,,计费
1247,2472368,0002472368,广州市荔湾区中南街海南股份合作经济联合社,3075012010,农村/城中村总表民用,居民生活,100.0,计费
1250,2462439,0002462439,广州市白云区金沙街沙凤股份合作经济联合社,3105012010,农村/城中村总表民用,居民生活,150.0,计费
1257,2487423,0002487423,真光中学,3065142010,建筑业,经营服务用水,,计费
1273,2636678,0002636678,广州市荔湾区中南街海南股份合作经济联合社,3075012010,建筑业,经营服务用水,100.0,计费
